post molt size,pre molt size
127.7,113.6
133.2,118.1
135.3,119.9
143.3,126.2
139.3,126.7
140.2,127.3
143.8,128.2
144.6,129.5
147.6,130.5
144.8,131.6
146.8,131.7
145.9,132.2
151,132.4
148.7,132.8
147.8,132.8
148.3,133.6
149.2,133.8
149,134.1
149.2,134.3
148.7,134.6
149,135.2
151.1,135.2
150.4,135.5
149.4,135.6
150,136.1
151,136.2
150,136.3
150.7,136.4
147.6,136.7
151.9,136.8
151.5,136.9
151.1,137.3
151,137.4
151.8,137.6
150.9,137.6
150,137.6
154,138
152.6,138.2
152.6,138.3
152.6,138.3
151.1,138.3
151.4,138.5
155,138.9
151.8,139.2
154.2,139.5
154,139.5
151.9,140
155.5,140.1
155.9,140.2
153.1,140.3
155.4,140.3
154.2,140.6
153,140.7
151.7,141
153.4,141.3
154,141.3
155.6,141.3
156.2,141.3
155.6,141.5
154.3,142
158.2,142
155.6,142.3
156.5,142.3
157.3,142.4
155.8,142.7
156.6,142.9
155.9,143
156.6,143.1
155,143.5
158.2,143.6
158.7,143.7
155.9,143.7
159.1,143.7
155.6,143.9
158.6,144
154.3,144.5
161.6,144.6
157,144.6
154.6,144.7
157.9,145
160,145.2
159.9,145.4
157.1,145.4
159.9,145.7
157,145.7
159.6,145.7
160.6,145.9
155.6,146
159.6,147.2
162.7,147.4
158.3,147.6
160.1,148
163.7,148.1
163.2,148.1
164.7,151
163.5,151.2
166.5,153.9
130.8,115.6
141.6,123
142.5,124.4
147.5,136.1
151.4,136.9
154.2,138.6
152.3,139.7
159.5,139.8
156.6,141.3
154.6,143.7
157.8,144.2
161.7,146.4
160.6,147.8
156,147.9
154.8,142.3
142.5,125.1
154.9,140.8
136.5,122.4
146.6,133.2
151.5,138.9
154.4,143.1
152.2,139.7
155.3,140.4
133.3,116.6
149.7,137.4
157.5,143
155.3,143.2
152.9,140.8
154.3,140.7
143.1,130.8
145.2,131.8
135.4,120.6
153.5,140.1
148.9,133
139.1,122.9
155.4,143
154.7,139.5
149.5,137.5
151.5,136.7
160.1,145.9
153.2,143.1
142,128.5
153.8,141.1
164.9,150.9
155.7,144.6
155.8,143.3
158.9,146.5
155.2,143.5
164.1,150.2
161.3,148.3
156.7,143.1
148.2,135.7
156.5,143.4
147.8,133
157.7,143.2
149.1,137
151.5,140.8
146.7,132.8
148.5,134.7
156.6,142.4
155,141.2
129.5,111.9
101.4,84.3
128.9,109.8
101.9,83.8
105.1,86.1
114.8,92
91.5,71.4
96.4,77.9
94.5,75.2
131.1,113.1
93.8,71.4
101.3,81.4
95.5,74.8
82.3,62.7
97.2,75.8
92.1,74.2
96.3,72.4
104.6,83.6
38.8,31.1
51.8,40.5
110.2,88.3
120,98.2
121.9,102.1
134.8,116.1
148,135.6
158.2,143.2
154.8,142.9
141.8,123.4
141.6,125.5
146.6,129.5
133.8,120.1
136.5,122.5
140.9,123.3
140.4,127.8
148.5,134.7
145.8,128.6
142.8,124.2
142.4,125.5
149.1,131.4
149.5,136.1
127.6,110.6
136.2,122.3
145.8,134.1
154.2,138.3
147.1,133.3
159.4,149.8
162.6,149.2
151.5,142.5
118,104.6
145.5,127.1
148.2,129.8
135.9,121.1
136.1,119.2
128.6,110.9
139.8,122.5
136.7,119.3
135.1,118.2
149,137.5
163.7,148.9
149.8,131.3
143.2,126.9
143.2,129.3
157,144.3
152.7,137.2
153.6,139
140.6,123.3
151.7,138.4
132,111.7
132.5,117.2
154.5,142
143.3,130
138.1,122.3
126.7,114.7
132.4,119.3
149.3,131.7
139.3,120.3
151.5,136.2
166.8,154.5
126.8,109.5
152.1,139.2
126.9,108.3
145.4,128.5
156.3,144.5
142.7,123.3
132.9,117.7
137.9,119.7
126.1,113.6
160.4,148.2
166.2,155.1
145.4,131
144.3,132.2
156.8,144.9
131.2,112.5
140.8,124.1
130.8,113.9
149.7,135.5
156.7,142.4
136.1,121.3
150.1,136.7
140.7,122
139.4,125.6
160.1,149.9
138.2,123.3
148.6,133.6
152,138.8
128.2,110.7
126.7,111.5
142.5,124.8
139.7,126.2
151.8,138.6
141.1,125.2
140.7,126.2
157.5,145.1
143.8,126
127.7,110.5
155.2,140.5
146.9,128.6
125,103.9
133.5,118.9
144.4,131
154.6,141.4
154.4,139.2
138.6,119.8
133.7,115
153.2,139.8
159.1,144.5
149.5,134.7
144.7,126.1
147.3,130.4
138.4,120.8
136.9,119.2
146.6,132.3
124.5,106.3
144.1,125.7
124.4,107.6
142.2,128.5
134.1,119.5
133.8,116.2
127.8,112.3
132.3,115.6
135.6,119
130.3,113.6
128.7,111.6
118.8,112.7
133.4,117.5
151.6,136.3
140.6,125.2
144.6,128.9
147.7,132
154.8,140.4
139.1,121.6
124.2,108.6
129.5,111.8
123.7,107.2
130.6,115.9
134.7,121.4
153.9,137.4
148.4,133.7
130.1,115.7
135.8,122.2
140.3,126.2
138.7,125.5
140.6,128.3
127.6,112.9
127.7,110.8
127.5,111
138.3,125.3
127.3,110.9
151.5,137.7
140.5,126.6
128.5,112
145.9,130.5
135.5,119.6
125.4,108.8
146.3,132.9
144.5,126
148.8,130.8
127.8,111.9
137.7,120.7
149.6,135.7
128,112.6
141.8,123.1
138.5,121
136.1,119.9
130.1,113.6
139.2,122.7
153.4,140
141.6,125.5
138.6,122.1
153,140.7
139.8,127
140.8,127.6
138,122.6
146.7,135
135.9,119.4
144.4,130.4
138.5,125
125.3,108.9
131.9,114.8
134.3,121.6
147.8,134.8
147.7,133.9
144.2,128.1
132,115.3
136.1,120.9
148.1,130.2
147.5,132.7
122.4,108
147.7,133.9
144.2,128.1
132,115.3
136.1,120.9
148.1,130.2
147.5,132.7
122.4,108
135.8,118.7
135.2,120
126.5,109.1
140.3,124.1
145.8,133.2
152.1,139.6
147,133.9
150.4,137.2
155.7,143.1
140.5,128.8
139.3,121.7
131.5,116.3
142.7,130.1
158.2,146.4
135.8,118.9
147.2,132.9
150,135.2
148.2,135
139.8,125.4
143.7,126.7
141.3,125
147.2,133.2
139.7,124.3
130.3,115.3
149.3,136.8
150.4,137.6
160,147.5
161.6,147.5
149.3,136
129.2,113.3
142.7,126.3
143.6,129.6
132,116.3
133.2,116.6
137.8,120.9
145.4,131
150.8,136.5
147.2,133.3
143.7,132
144.7,131.4
148.1,135.8
135.4,118.6
145.8,129.8
154.2,141.2
144.3,132
133.7,118.7
155.4,141.5
142.4,130.7
149.5,137.7
157.1,143
147.6,134.7
143.5,131.2
138.9,125.9
157,144.8
140.8,128.5
156.4,143.4
153.1,141.7
152.3,139.2
130.5,115.8
149.8,137.2
142.3,131
153.4,141.9
147.9,133.4
149.9,134.3
152.2,137.9
150.4,138.6
141.8,130.8
152.4,138.1
133.7,121.9
147.1,136.9
151.7,138.6
153.6,141.4
145.2,132.2
141.6,124.5
138.3,125.7
135.2,119.3
153.5,140.7
153.3,139.6
151.6,139.6
152.9,138
147.5,134.8
141.9,124.4
145.9,132.6
140.3,125.1
148.5,135.3
151.4,139.1
138.6,129.7
146.4,134.9
134.3,118.7
154.1,138.3
146.4,131.2
149.4,135.2
134.7,119.4
161.7,148.1
150.3,135.9
151.2,135.6
143.5,129.6
148.3,134.1
129.2,114.4
,
,
,
,